latitude,longitude,marker,color
26.8466937,80.94616599999998,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.8906639,80.9670749,circle1,blue
26.86584430000001,80.9104684,circle1,orange
26.8453894,80.9456421,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.8532449,80.9965217,circle1,black
26.844825,80.98320059999998,circle1,yelow
26.8466937,80.94616599999998,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.8166485,80.9076582,circle1,orange
26.8466937,80.94616599999998,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.883849800000004,80.944683,circle1,blue
26.8564471,80.9456553,circle1,blue
26.6213528,80.6791671,circle1,green
26.8466937,80.94616599999998,circle1,blue
26.853955100000004,80.94514099999998,circle1,blue
26.862338,81.01996129999998,circle1,pink
26.8466937,80.94616599999998,circle1,blue
26.8474882,80.94081070000001,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.8459624,80.9415089,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.849719300000004,80.9453317,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.8425364,80.95152569999998,circle1,blue
26.85370510000001,80.9484195,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.89417000000001,80.94303000000002,circle1,blue
26.87989330000001,80.9926327,circle1,yelow
26.8466937,80.94616599999998,circle1,blue
26.88803,81.0576385,circle1,white
26.8821109,80.9481416,circle1,blue
26.8988641,80.94703740000001,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.873192,80.9576132,circle1,blue
26.799005800000003,80.9170312,circle1,brown
26.873049,80.9826178,circle1,yelow
26.86390530000001,80.9027988,circle1,orange
26.8533837,80.9469616,circle1,blue
26.8568206,81.00851569999998,circle1,black
26.86981,80.90732000000001,circle1,orange
26.8289997,80.94308840000002,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.8559463,80.9495439,circle1,blue
26.8547908,80.92853709999999,circle1,blue
26.8481273,80.94097699999998,circle1,blue
26.784561,80.89231199999998,circle1,grey
26.844825,80.98320059999998,circle1,yelow
26.8661776,81.00644419999998,circle1,black
26.8466937,80.94616599999998,circle1,blue
26.8466937,80.94616599999998,circle1,blue
26.8300191,80.8938845,circle1,grey
26.891248200000003,80.972375,circle1,yelow
26.83131280000001,80.9180086,circle1,brown
26.868512,80.9078813,circle1,orange
26.8466937,80.94616599999998,circle1,blue
