cluster_no,distance
3.0,0.010750271315242657
3.0,0.010750271315242657
3.0,5.655398087585808
8.0,0.5886538505908749
3.0,0.02414091539985498
3.0,0.010750271315242657
3.0,0.010750271315242657
7.0,0.24018040617811595
0.0,0.18484098287372616
3.0,0.010750271315242657
3.0,0.010750271315242657
8.0,0.10286033794043693
3.0,0.010750271315242657
3.0,0.010750271315242657
3.0,0.010750271315242657
3.0,0.010750271315242657
3.0,0.35374398722535816
3.0,0.016237434968292063
2.0,0.0
3.0,0.010750271315242657
3.0,0.026290086417420186
9.0,0.058728490930687445
3.0,0.010750271315242657
3.0,0.4161461042331903
3.0,0.010750271315242657
3.0,0.3277438667175442
3.0,0.010750271315242657
3.0,0.020540625841712706
3.0,0.010750271315242657
3.0,0.3315750258803922
3.0,0.043245176510454605
3.0,0.010750271315242657
3.0,0.6983235261391656
0.0,0.7688200309317796
3.0,0.010750271315242657
5.0,1.1292362823259567
3.0,0.3073967978273038
3.0,0.6738918876594048
3.0,0.010750271315242657
3.0,1.6452676762902685
4.0,0.6113712534382136
0.0,0.08461544781293855
8.0,0.44915085853338343
3.0,0.0024698793184586344
7.0,0.7507083486204232
8.0,0.4592464645801345
3.0,0.3122787399306257
3.0,0.010750271315242657
3.0,0.010750271315242657
3.0,0.11418502537060915
3.0,4.0220035042901205
3.0,0.39115525411383767
6.0,0.6909473072944343
0.0,0.18484098287372616
7.0,0.4081940452776129
3.0,0.010750271315242657
3.0,0.010750271315242657
6.0,0.5588058973764807
0.0,2.1648557664552603
4.0,0.11028418894395536
8.0,0.45022012654465726
3.0,0.010750271315242657
0.0,2.157252778747666
3.0,0.010750271315242657
3.0,0.977836962290434
4.0,0.11028418894395536
3.0,1.273956399612008
6.0,1.7323305984116382
0.0,0.08461544781293855
8.0,0.8080399596806276
3.0,0.010750271315242657
3.0,1.520068630848949
3.0,0.02602634746125456
8.0,0.10286033794043693
4.0,0.13052235723307382
3.0,0.010750271315242657
3.0,0.010750271315242657
3.0,0.15062711937853152
3.0,0.010750271315242657
3.0,0.010750271315242657
3.0,0.010750271315242657
4.0,0.25842429590636873
6.0,1.7323305984116382
3.0,0.010750271315242657
4.0,0.11028418894395536
3.0,0.010750271315242657
3.0,0.010750271315242657
4.0,0.11028418894395536
8.0,0.38338464806589606
3.0,1.812626687118005
0.0,2.157252778747666
3.0,3.0292454010354724
0.0,0.7688200309317796
3.0,4.28036778882207
0.0,1.7839896004711442
3.0,0.010750271315242657
0.0,0.18484098287372616
3.0,0.010750271315242657
3.0,0.010750271315242657
3.0,0.6444853139217346
3.0,0.6444853139217346
4.0,0.27318800847107766
4.0,0.2237675477917225
6.0,0.09377457911584197
3.0,0.010750271315242657
3.0,0.06869781987020093
3.0,0.010750271315242657
3.0,0.010750271315242657
3.0,0.010750271315242657
3.0,0.010750271315242657
8.0,0.43755544728014145
3.0,0.010750271315242657
4.0,0.1697762097226032
3.0,0.010750271315242657
3.0,0.010750271315242657
3.0,0.3315750258803922
4.0,0.25842429590636873
3.0,0.010750271315242657
4.0,0.25842429590636873
6.0,0.19745592998686604
4.0,0.3321688012941199
4.0,0.2237675477917225
3.0,0.3277438667175442
3.0,0.010750271315242657
3.0,0.010750271315242657
6.0,8.098120546066149
3.0,0.010750271315242657
8.0,0.1717188544733284
0.0,0.5015424495068688
3.0,0.010750271315242657
3.0,0.010750271315242657
3.0,0.541028054902223
3.0,0.010750271315242657
